name,description,price,category,image_url,stock_quantity,is_available
"Ventilador 3 en 1 16"" Nex 50W Negro",No aplica para retiro en tienda. Sólo delivery.Multi-selector de velocidadesPotencia 50 WNúmero de aspas: 3Ajustable e inclinación y alturaDiámetro: 40 cm,69.9,Electrohogar,https://www.metro.pe/ventilador-3-en-1-16-nex-50w-negro-1003284/p,1,True
Refrigeradora no frost de 292L Mabe RMA305FWPC,No aplica para retiro en tienda. Sólo delivery.Desmoldador de hielo en contrapuertaDispensador de agua de 2LParrillas de vidrio templado,1449.0,Electrohogar,https://www.metro.pe/refrigeradora-no-frost-de-292l-mabe-rma305fwpc-1019117/p,3,True
Horno Microondas LG 20 Litros MS2032GAS,No aplica para retiro en tienda. Sólo delivery.EasyCleanNivel de PotenciaDescongelado Automático,319.0,Electrohogar,https://www.metro.pe/horno-microondas-lg-20-litros-ms2032gas-1001463/p,32,True
Refrigeradora Samsung TMF 384L RT38DG6730S9/PE,No aplica para retiro en tienda. Sólo delivery.All Around CoolingWiFi / SmartThingsPower Cool,1999.0,Electrohogar,https://www.metro.pe/refrigeradora-samsung-tmf-384l-rt38dg6730s9-pe-1014689/p,28,True
Cocina Indurama Cantabria Qz 5 Hornillas Croma,No aplica para retiro en tienda. Sólo delivery.5 Quemadores sellados1 Quemador Triple LlamaIncluye plancha freidora,1199.0,Electrohogar,https://www.metro.pe/cocina-indurama-cantabria-qz-5-hornillas-croma-1001495/p,28,True
Refrigerador Top Freezer Mabe 239L RMA255FYPG Total Fresh Flow Grafito,No aplica para retiro en tienda. Sólo delivery.Capacidad: 239 litrosTipo: Top FreezerSistema de Frío: Total Fresh Flow,1399.0,Electrohogar,https://www.metro.pe/refrigerador-top-freezer-mabe-239l-rma255fypg-total-fresh-flow-grafito-2/p,2,True
"Cocina Oster Os-Pgsc20G4Htss 20""",No aplica para retiro en tienda. Sólo delivery.Quemador triple llamaBase de acero inoxidableEncendido eléctrico y luz en el horno,779.0,Electrohogar,https://www.metro.pe/cocina-oster-os-pgsc20g4htss-20-1009455/p,21,True
"Ventilador de Torre 30"" Nex 50W",Medida (Alt): 76 cmNúmero de velocidades: 3Bajo nivel de ruidoControl de Oscilación Motor de aluminio,109.9,Electrohogar,https://www.metro.pe/ventilador-de-torre-30-nex-50w-1013960/p,30,True
Freidora de aire Oster 4L digital con ventana,No aplica para retiro en tienda. Sólo delivery.Recubrimiento DiamondForceVentana para facilitar la visiónLuz interior,379.0,Electrohogar,https://www.metro.pe/freidora-de-aire-oster-4l-digital-con-ventana-1024844/p,6,True
Cocina Indurama Coruña Qz 4 Hornillas Croma,No aplica para retiro en tienda. Sólo delivery.4 Quemadores selladosEncendido eléctrico en tableroParrillas de hierro fundido,849.0,Electrohogar,https://www.metro.pe/cocina-indurama-coruna-qz-4-hornillas-croma-1001492/p,32,True
Congelador Indurama CI-320Bl,No aplica para retiro en tienda. Sólo delivery.Ruedas multidireccionalesCapacidad: 310 litros Control de temperatura manualPotencia 140W,1099.0,Electrohogar,https://www.metro.pe/congelador-indurama-ci-320bl-2/p,44,True
Lavadora Samsung Wa19Cg6441Bdpe 19Kg Gris,No aplica para retiro en tienda. Sólo delivery.EcobubbleLavado intensoSuavizante profundo,1999.0,Electrohogar,https://www.metro.pe/lavadora-samsung-wa19cg6441bdpe-19kg-gris-1014678/p,46,True
Cocina de Pie Indurama Fontana Spazio20 4 Quemadores,No aplica para retiro en tienda. Sólo delivery.Número de quemadores: 4Tipo de cocina: GasCapacidad del horno: 55 litros,649.0,Electrohogar,https://www.metro.pe/cocina-de-pie-indurama-fontana-spazio20-4-quemadores/p,41,True
Microondas LG MH7032JAS EasyClean Negro,EasyCleanDoradorModo de cocción,439.0,Electrohogar,https://www.metro.pe/microondas-lg-mh7032jas-easyclean-negro-1017856/p,16,True
Plancha a Vapor Nex ANTIAD1500,Tipos de planchado: Seco | VaporPlaca de aluminio antiadherentePotencia: 1500WDepósito de agua de 210ml,49.9,Electrohogar,https://www.metro.pe/plancha-a-vapor-nex-antiad1500-962189/p,18,True
"Ventilador Box 9"" Nex 30W","Potencia: 30 WattsDiámetro: 9"" - 23cmMulti selector de velocidadesAspas: 3",69.9,Electrohogar,https://www.metro.pe/ventilador-box-9-nex-30w-1013954/p,35,True
Lavadora Carga Superior LG WT19DV6T AI DD 19 KG Gris,No aplica para retiro en tienda. Sólo delivery.AI DD Inteligencia Artificial6 Motion DDScent,1849.0,Electrohogar,https://www.metro.pe/lavadora-carga-superior-lg-wt19dv6t-ai-dd-19-kg-gris-1016818/p,40,True
Cocina de Piso a Gas 76cm Negro Mabecmp3020Fn0,No aplica para retiro en tienda. Sólo delivery.Número de quemadores: 6Timer mecánico Encendido electrónico por botón,1099.0,Electrohogar,https://www.metro.pe/cocina-de-piso-a-gas-76cm-negro-mabecmp3020fn0-1019108/p,29,True
Refrigerador Ri-389I Indurama 246 Litros No Frost,No aplica para retiro en tienda. Sólo delivery.Dispensador de 2.2LTecnología InverterSistema Multi Air Flow,1249.0,Electrohogar,https://www.metro.pe/refrigerador-ri-389i-indurama-246-litros-no-frost-1019163/p,4,True
"Ventilador Box 20"" Nex VBX2000 75W",Potencia: 75WSelector de 3 velocidadesAjustable en inclinaciónPara piso o paredTemporizador de hasta 120 minutos,89.9,Electrohogar,https://www.metro.pe/ventilador-box-20-nex-vbx2000-75w-1013959/p,48,True
Congelador Indurama Ci-420Bl,No aplica para retiro en tienda. Sólo delivery.Sistema DefrostRevestimiento de pintura blancaModo dual: conservador y congelador,1799.0,Electrohogar,https://www.metro.pe/congelador-indurama-ci-420bl-961145/p,5,True
Lavadora Carga Superior LG WT17DV6T AI DD 17 Kg Gris,No aplica para retiro en tienda. Sólo delivery.AI DD Inteligencia Artificial6 Motion DDScent,1749.0,Electrohogar,https://www.metro.pe/lavadora-carga-superior-lg-wt17dv6t-ai-dd-17-kg-gris-1016816/p,18,True
Refrigeradora Top Freezer LG GT33WPP 334L Door Cooling Plateada,No aplica para retiro en tienda. Sólo delivery.Compresor Smart InverterMúltiples salidas de aireDoorcooling+,0.0,Electrohogar,https://www.metro.pe/refrigeradora-top-freezer-lg-gt33wpp-334l-door-cooling-plateada-2/p,11,True
Cocina Indurama Cataluña Qz 6 Hornillas Croma,No aplica para retiro en tienda. Sólo delivery.6 Quemadores selladosEncendido eléctrico en tablero y hornoLuz en el horno,1099.0,Electrohogar,https://www.metro.pe/cocina-indurama-cataluna-qz-6-hornillas-croma-1001491/p,5,True
Refrigerador Ri-389I Indurama 246 Litros No Frost,No aplica para retiro en tienda. Sólo delivery.Compresor InverterSistema Multi Air FlowIluminación LED,1249.0,Electrohogar,https://www.metro.pe/refrigerador-ri-389i-indurama-246-litros-no-frost-1019162/p,2,True
Lavadora Samsung Wa13Cg5441Bdpe 13Kg Gris,No aplica para retiro en tienda. Sólo delivery.EcobubbleLavado intensoSuavizante profundo,1199.0,Electrohogar,https://www.metro.pe/lavadora-samsung-wa13cg5441bdpe-13kg-gris-1014675/p,31,True
Horno Microondas Oster POGGE3702,No aplica para retiro en tienda. Sólo delivery.700W de PotenciaControl DigitalFunción de Descongelado,309.0,Electrohogar,https://www.metro.pe/horno-microondas-oster-pogge3702-2/p,12,True
Oster Licuadora 1.25 Lt BLST4655 3 Velocidades,No aplica para retiro en tienda. Sólo delivery.,379.0,Electrohogar,https://www.metro.pe/oster-licuadora-1-25-lt-blst4655-3-velocidades/p,34,True
Congeladora Mabe 198Lts Chm200Pb3,No aplica para retiro en tienda. Sólo delivery.Distribucion de frio a traves de paredesFuncion dual congela y conservaPanel de luces,899.0,Electrohogar,https://www.metro.pe/congeladora-mabe-198lts-chm200pb3-1012437/p,7,True
Aire Acondicionado Nex 12000BTU,Capacidad Frigorífica [BTU]: 12000Capacidad Calorífica [BTU]: 9500Potencia: 1300WVoltaje: 220-240VFunciones: Refrigeración | Calefacción | Deshumidificador | Ventilador,999.0,Electrohogar,https://www.metro.pe/aire-acondicionado-nex-12000btu-1013963/p,46,True
Cocina de Pie Indurama Matisse 4 Quemadores Gris,No aplica para retiro en tienda. Sólo delivery.Número de quemadores: 4Tipo de cocina: GasTablero de acero inoxidable,699.0,Electrohogar,https://www.metro.pe/cocina-de-pie-indurama-matisse-4-quemadores-gris/p,5,True
Licuadora Acero Imaco 450w BLS503,No aplica para retiro en tienda. Sólo delivery.Cuchilla de 6 aspas de acero inox2 velocidades mas pulsadorMotor de 450w,89.0,Electrohogar,https://www.metro.pe/licuadora-acero-imaco-450w-bls503/p,12,True
